X,Y,Class
-1.393678741,1.515100844,1
-5.201807453,1.658530753,1
4.954526361,0.8757812,0
-3.280254461,2.83256375,1
-2.19469588,-0.561112888,0
-3.555178074,-0.281936417,0
-0.221060252,1.810333165,1
-3.343784068,-1.079023671,0
-0.632821465,-5.273457464,0
5.279916296,-0.173757299,0
-3.097171992,0.474138474,1
-3.684031431,2.466207075,1
-1.760824471,3.27298669,1
-2.105022087,2.992043864,1
-3.547576326,0.137319788,1
0.138706257,-3.648814331,0
-2.338285995,1.183777165,1
-3.947373419,2.046671974,1
4.954526361,0.8757812,0
-2.687472203,-0.306616447,0
-1.918188062,0.90302387,1
-3.826492409,3.415537088,1
-0.481063977,2.733097247,1
-2.796093452,-8.404695137,0
-3.995020767,2.916167507,1
-4.140113436,2.151420785,1
0.543657035,7.635977706,1
-2.722112998,2.733402982,1
-0.206684366,2.518785093,1
8.651208708,-0.40317943,0
